tweet_id, retweet_count, favorite_count 
798697898615730177,6539,0
798694562394996736,4967,0
798686750113755136,2345,0
798682547630837760,4750,0
798673117451325440,5573,0
798665375516884993,3918,0
798644042770751489,1864,0
798628517273620480,1984,0
798585098161549313,5701,0
798576900688019456,5851,0
798340744599797760,3343,0
798209839306514432,2571,10441
797971864723324932,3112,11613
797545162159308800,4886,14586
797236660651966464,6597,20002
797165961484890113,26,225
796904159865868288,8950,0
796865951799083009,1932,7700
796759840936919040,3037,11853
796563435802726400,7277,0
796484825502875648,1763,7590
796387464403357696,4152,11024
796177847564038144,14318,0
796149749086875649,14318,32283
796125600683540480,1811,4975
796116448414461957,2418,9113
796080075804475393,2318,8469
796031486298386433,3729,10816
795464331001561088,23633,49703
795400264262053889,2880,10066
795076730285391872,5452,16226
794983741416415232,3382,0
794926597468000259,2312,10260
794355576146903043,10299,0
794332329137291264,2692,9612
794205286408003585,3328,9243
793962221541933056,4896,16859
793845145112371200,1868,9236
793614319594401792,3141,0
793601777308463104,1627,7997
793500921481273345,2377,10691
793286476301799424,9181,24645
793271401113350145,2398,8713
793256262322548741,8363,20014
793241302385262592,3304,10521
793226087023144960,2893,9853
793210959003287553,2802,8936
793195938047070209,5645,15291
793180763617361921,2007,6952
793165685325201412,2795,9400
793150605191548928,1710,6188
793135492858580992,2505,6416
793120401413079041,3934,12675
792913359805018113,3995,14351
792883833364439040,4283,11307
792773781206999040,1682,7367
792394556390137856,4305,13457
792050063153438720,1803,7163
791821351946420224,21136,0
791784077045166082,9584,0
791780927877898241,3827,0
791774931465953280,22234,45195
791672322847637504,3141,11773
791406955684368384,4118,13164
791312159183634433,2539,8797
791026214425268224,4103,0
790987426131050500,2139,9841
790946055508652032,4706,16663
790723298204217344,2315,0
790698755171364864,1931,8229
790581949425475584,7147,20687
790337589677002753,1886,7833
790277117346975746,3185,12578
790227638568808452,3568,0
789986466051088384,2315,9255
789960241177853952,4130,0
789903600034189313,4146,10367
789628658055020548,1771,7509
789599242079838210,1929,6765
789530877013393408,3382,11738
789314372632018944,2303,8675
789280767834746880,4936,0
789268448748703744,2617,9140
789137962068021249,2795,9731
788908386943430656,12502,27466
788765914992902144,10299,27360
788552643979468800,7180,0
788412144018661376,5265,15563
788178268662984705,2099,7241
788150585577050112,1286,6131
788070120937619456,3432,0
788039637453406209,1314,6130
787810552592695296,3055,8616
787717603741622272,2779,10271
787397959788929025,2850,10889
787322443945877504,1743,7782
787111942498508800,6763,0
786963064373534720,7984,26657
786729988674449408,2427,0
786709082849828864,6126,18228
786664955043049472,2551,10593
786595970293370880,3130,9445
786363235746385920,3501,10897
786286427768250368,2842,7968
786233965241827333,4726,15250
786051337297522688,155,1421
786036967502913536,7007,0
785927819176054784,3184,11386
785872687017132033,1812,6691
785639753186217984,2242,7851
785533386513321988,2000,9113
785515384317313025,1258,6124
785264754247995392,1624,7265
785170936622350336,4832,12025
